game_id,date,home_team,away_team,bet_type,bet_side,odds,line,bookmaker,model_prob,market_prob,edge,outcome,profit,stake
5b9deb3a7a25c3efea6e5baf9123366f,2025-12-27,Memphis Grizzlies,Milwaukee Bucks,spread,home,-106,-5.5,lowvig,0.5553706889325785,0.5239793673734124,0.03139132155916602,win,94.33962264150944,100
5c7ba711cc75765ee4a291d1ac6642d0,2025-11-24,Oklahoma City Thunder,Portland Trail Blazers,spread,home,-110,-15.5,fanduel,0.581414779734585,0.5306648799677954,0.050749899766789563,win,90.9090909090909,100
5cc0919657cd7dabe2c7b24c5ecf0373,2025-12-02,Los Angeles Lakers,Phoenix Suns,spread,home,-106,-5.5,lowvig,0.6033163214158825,0.5245854045570384,0.07873091685884415,loss,-100.0,100
6303a20d9193cbb7cad95eb1a593f830,2025-12-04,New York Knicks,Charlotte Hornets,spread,home,-101,-10.0,lowvig,0.5866615223359226,0.5215643038775938,0.06509721845832883,win,99.00990099009901,100
640a3b0d618c26bd0e462da74aad454f,2025-11-27,Sacramento Kings,Phoenix Suns,spread,home,-110,4.5,betrivers,0.5698795902033426,0.5310454379320738,0.03883415227126874,loss,-100.0,100
6a4ab9a1ce6d4f90b0dafd6d6461c5eb,2025-11-20,Oklahoma City Thunder,Sacramento Kings,spread,home,-101,-18.5,lowvig,0.5624209504184081,0.5182382395811843,0.044182710837223804,win,99.00990099009901,100
6b9d46fb1b22af30b771b5f6b8a4c6f8,2025-12-26,Denver Nuggets,Minnesota Timberwolves,spread,home,104,-2.5,lowvig,0.6013311450029544,0.5287225112178782,0.0726086337850762,win,104.0,100
6f0f84ac9e8f4b28201d84feade66964,2025-12-06,Milwaukee Bucks,Philadelphia 76ers,spread,away,-101,-2.0,lowvig,0.5649952774512017,0.5217843149806073,0.043210962470594416,win,99.00990099009901,100
7168d093c56bdbab627c94322573edb0,2025-12-24,Atlanta Hawks,Chicago Bulls,spread,away,-105,4.0,bovada,0.5911296956588584,0.5271519777761792,0.06397771788267925,win,95.23809523809524,100
72d83440ea3e88d46514dd3eed0deddb,2025-11-29,Indiana Pacers,Washington Wizards,spread,home,-106,-6.5,fanduel,0.576846262043044,0.5229762711135482,0.05386999092949585,win,94.33962264150944,100
7352c74ba8dbdb543d750f378fc002d5,2025-11-29,New York Knicks,Milwaukee Bucks,spread,home,-110,-7.0,fanduel,0.6345706026331006,0.5299454715280374,0.10462513110506322,loss,-100.0,100
76c06946a763643d09655bdcad0ccd33,2025-11-22,Chicago Bulls,Miami Heat,spread,home,-108,-2.0,fanduel,0.578897746649337,0.5249885500508173,0.05390919659851967,loss,-100.0,100
787d069f8664c6efc2c87087e15eca28,2025-12-15,Minnesota Timberwolves,Sacramento Kings,spread,home,-106,-12.5,fanduel,0.6022589499530115,0.523353676126491,0.07890527382652057,win,94.33962264150944,100
7a866eae268b30cd60aacad8fd8f3786,2025-11-27,New Orleans Pelicans,Memphis Grizzlies,spread,home,-106,2.5,lowvig,0.5913603848279145,0.5239870559990584,0.06737332882885616,loss,-100.0,100
7b907d2230835c551697af3a8e160d99,2025-12-06,Houston Rockets,Phoenix Suns,spread,home,-105,-11.5,fanatics,0.5722988578392679,0.5207602770666923,0.05153858077257567,win,95.23809523809524,100
8162993fb172c214bf7e7338079a0e79,2025-11-22,Houston Rockets,Denver Nuggets,spread,home,-102,-3.0,lowvig,0.5585360439258468,0.5216226272526119,0.03691341667323489,win,98.0392156862745,100
8169427a266bd81487b2136378509cac,2026-01-03,New York Knicks,Atlanta Hawks,spread,home,-105,-8.0,bovada,0.594897246495588,0.5229312012846671,0.07196604521092087,loss,-100.0,100
81f37d4274076247e0a49787f852af4d,2025-12-29,Los Angeles Clippers,Detroit Pistons,spread,home,-101,2.5,lowvig,0.5869824390503826,0.5170002867250637,0.0699821523253189,win,99.00990099009901,100
835535f997beb1f330c480429f5fd48b,2025-11-29,Los Angeles Clippers,Memphis Grizzlies,spread,home,-106,-7.0,fanduel,0.6290677734223334,0.5249594597734027,0.1041083136489307,loss,-100.0,100
843dd6e8046c96f00161330ba41f9351,2025-12-21,Toronto Raptors,Boston Celtics,spread,home,-106,1.5,lowvig,0.5707466883141369,0.5233618497160825,0.047384838598054424,win,94.33962264150944,100
85525b53f1abd7179f60a447bad2579b,2026-01-05,Los Angeles Lakers,Memphis Grizzlies,spread,away,-102,5.5,draftkings,0.5635299285994608,0.526274154975871,0.03725577362358978,win,98.0392156862745,100
