date,home_team,away_team,bet_side,spread,adjusted_spread,actual_diff,won,pnl,bankroll,xgb_prob,mlp_prob,disagreement,year,confidence
2024-05-25,IND,BOS,away,7.5,8.0,-3,False,-10.0,385.3100000000048,0.1882353,0.6575342465753425,0.4692989487762321,2024,0.8117647022008896
2024-11-24,IND,WAS,home,-12.5,-13.0,12,False,-10.0,375.3100000000048,0.986014,0.8211586901763224,0.16485531834571132,2024,0.9860140085220337
2025-01-14,IND,CLE,home,8.5,8.0,-10,False,-10.0,365.3100000000048,0.62085307,0.46206896551724136,0.1587841009271556,2025,0.620853066444397
2025-02-20,IND,MEM,away,-0.5,0.0,14,False,-10.0,355.3100000000048,0.36226416,0.5407239819004525,0.17845982555889972,2025,0.6377358436584473
2025-03-20,IND,BKN,home,-7.5,-8.0,6,False,-10.0,345.3100000000048,0.95049506,0.7899159663865546,0.16057909787202085,2025,0.9504950642585754
2025-03-26,IND,LAL,home,-0.5,-1.0,-1,False,-10.0,335.3100000000048,0.74825174,0.5119453924914676,0.23630634367262537,2025,0.748251736164093
2025-04-22,IND,MIL,home,-4.5,-5.0,8,True,9.09,344.40000000000475,0.857971,0.6981132075471698,0.1598578050451459,2025,0.8579710125923157
2022-11-07,LAC,CLE,home,4.0,3.5,2,True,9.09,353.4900000000047,0.62085307,0.3524416135881104,0.2684114528562866,2022,0.620853066444397
2022-11-17,LAC,DET,home,-10.5,-11.0,5,False,-10.0,343.4900000000047,0.986014,0.7899159663865546,0.1960980421354791,2022,0.9860140085220337
2022-11-25,LAC,DEN,away,4.0,4.5,-10,True,9.09,352.5800000000047,0.3723404,0.5407239819004525,0.16838357095265277,2022,0.6276595890522003
2022-12-17,LAC,WAS,home,-5.0,-5.5,9,True,9.09,361.6700000000047,0.986014,0.8211586901763224,0.16485531834571132,2022,0.9860140085220337
2023-01-02,LAC,MIA,home,1.0,0.5,-10,False,-10.0,351.6700000000047,0.61904764,0.35555555555555557,0.2634920861985948,2023,0.6190476417541504
2023-01-26,LAC,SAS,home,-13.5,-14.0,38,True,9.09,360.76000000000465,0.95049506,0.7374517374517374,0.21304332680683802,2023,0.9504950642585754
2023-02-14,LAC,GSW,home,-7.5,-8.0,10,True,9.09,369.8500000000046,0.857971,0.6575342465753425,0.20043676601697313,2023,0.8579710125923157
2023-03-11,LAC,NYK,home,-5.5,-6.0,11,True,9.09,378.9400000000046,0.7,0.35555555555555557,0.3444444325235155,2023,0.699999988079071
2023-10-29,LAC,SAS,home,-9.5,-10.0,40,True,9.09,388.0300000000046,0.857971,0.6575342465753425,0.20043676601697313,2023,0.8579710125923157
2023-11-12,LAC,MEM,home,-8.5,-9.0,-4,False,-10.0,378.0300000000046,0.857971,0.5119453924914676,0.34602562010084803,2023,0.8579710125923157
2023-11-27,LAC,DEN,away,-11.5,-11.0,-9,True,9.09,387.12000000000455,0.4117647,0.6575342465753425,0.24576953543375624,2023,0.5882352888584137
2024-01-01,LAC,MIA,home,-8.5,-9.0,17,True,9.09,396.2100000000045,0.62650603,0.7899159663865546,0.1634099358270148,2024,0.6265060305595398
2024-01-21,LAC,BKN,home,-9.5,-10.0,11,True,9.09,405.3000000000045,0.939759,0.7374517374517374,0.20230727858524988,2024,0.9397590160369873
2024-02-12,LAC,MIN,away,-4.5,-4.0,-21,True,9.09,414.3900000000045,0.44444445,0.6981132075471698,0.25366875979135617,2024,0.5555555522441864
2024-11-02,LAC,OKC,away,5.5,6.0,-13,True,9.09,423.48000000000445,0.1882353,0.5407239819004525,0.35248868410134204,2024,0.8117647022008896
2025-01-15,LAC,BKN,home,-15.5,-16.0,59,True,9.09,432.5700000000044,0.95049506,0.7374517374517374,0.21304332680683802,2025,0.9504950642585754
2025-01-19,LAC,LAL,home,-4.5,-5.0,14,True,9.09,441.6600000000044,0.8913044,0.6981132075471698,0.19319116619398014,2025,0.8913043737411499
2025-03-21,LAC,MEM,home,-6.5,-7.0,20,True,9.09,450.7500000000044,0.8913044,0.7303370786516854,0.1609672950894645,2025,0.8913043737411499
2025-03-23,LAC,OKC,home,-0.5,-1.0,-2,False,-10.0,440.7500000000044,0.74825174,0.3524416135881104,0.39581012257598264,2025,0.748251736164093
2022-10-23,LAL,POR,home,-4.0,-4.5,-2,False,-10.0,430.7500000000044,0.6666667,0.3870967741935484,0.2795699123413332,2022,0.6666666865348816
2022-11-06,LAL,CLE,away,5.5,6.0,-14,True,9.09,439.84000000000435,0.17741935,0.3870967741935484,0.2096774246423475,2022,0.8225806504487991
2022-12-13,LAL,BOS,away,4.0,4.5,-4,False,-10.0,429.84000000000435,0.42276424,0.08064516129032258,0.3421190804050815,2022,0.577235758304596
